bolig_id;addr;vej;zip;pris;energi;type;kvm;ejerudg;grund;vaer;liggetid;alder
5b1166f3-7924-42fe-b80c-9a9988765dc9;/adresse/soelvgade-6-4840-noerre-alslev;Sølvgade 6Ø. Kippinge, 4840 Nørre Alslev;Ø. Kippinge, 4840 Nørre Alslev;625.000,00 kr.;Energimærke F;Villa;105 m²;Ejerudg. 1.167 kr./md;Grund 865 m²;3 Vær.;69 dage;Opført 1960
5f981b9d-3e1c-4593-b94a-dfa0b19d6233;/adresse/elmevangsvej-1-5466-asperup;Elmevangsvej 1Blanke, 5466 Asperup;Blanke, 5466 Asperup;4.300.000,00 kr.;Energimærke E;Villa;166 m²;Ejerudg. 2.504 kr./md;Grund 16.293 m²;3 Vær.;69 dage;Opført 1878
dbce560d-c86a-4f3b-8962-fd4f8b0e1a48;/adresse/kirkestien-2-9370-hals;Kirkestien 2Ulsted, 9370 Hals;Ulsted, 9370 Hals;735.000,00 kr.;Energimærke D;Villa;102 m²;Ejerudg. 945 kr./md;Grund 782 m²;3 Vær.;69 dage;Opført 1956
dbce560d-c86a-4f3b-8962-fd4f8b0e1a48;/adresse/kirkestien-2-9370-hals;Kirkestien 2Ulsted, 9370 Hals;(-4%);735.000,00 kr.;Energimærke D;Villa;102 m²;Ejerudg. 945 kr./md;Grund 782 m²;3 Vær.;69 dage;Opført 1956
4f24914e-e9ab-4f7e-a3ae-3077a36833c4;/adresse/solsortevej-28-7441-bording;Solsortevej 287441 Bording;7441 Bording;1.545.000,00 kr.;Energimærke D;Villa;166 m²;Ejerudg. 1.831 kr./md;Grund 757 m²;3 Vær.;70 dage;Opført 1964
1ce91dec-3a57-4a6c-a24b-3f8a40144c41;/adresse/jaegers-toft-14-9670-loegstoer;Jægers Toft 149670 Løgstør;9670 Løgstør;2.795.000,00 kr.;Energimærke C;Villa/Fritidsbolig;154 m²;Ejerudg. 1.843 kr./md;Grund 645 m²;4 Vær.;70 dage;Opført 1973
fb1f55ff-75d0-44f6-be6f-724aa241000d;/adresse/hovvej-5-4690-haslev;Hovvej 5Tjæreby, 4690 Haslev;Tjæreby, 4690 Haslev;2.495.000,00 kr.;Energimærke C;Villa;233 m²;Ejerudg. 2.506 kr./md;Grund 2.543 m²;4 Vær.;70 dage;Opført 1913
a62ef8dd-ef4d-489a-98c5-1ca2132ea7dc;/adresse/mosegravene-12-5471-soendersoe;Mosegravene 125471 Søndersø;5471 Søndersø;2.095.000,00 kr.;Energimærke D;Villa;155 m²;Ejerudg. 2.808 kr./md;Grund 16.137 m²;4 Vær.;70 dage;Opført 1870
e9a83a2e-9288-46a0-9da0-b090dac181bc;/adresse/alpetoppen-41-6000-kolding;Alpetoppen 41Harte, 6000 Kolding;Harte, 6000 Kolding;4.150.000,00 kr.;Energimærke C;Villa;196 m²;Ejerudg. 2.359 kr./md;Grund 1.030 m²;3 Vær.;70 dage;Opført 1975
a3c6e307-1d86-4543-ae0d-d4be3239f6cd;/adresse/raagevej-1-8990-faarup;Rågevej 1Asferg, 8990 Fårup;Asferg, 8990 Fårup;1.325.000,00 kr.;Energimærke D;Villa;134 m²;Ejerudg. 1.531 kr./md;Grund 800 m²;4 Vær.;70 dage;Opført 1975
80fd199d-75b5-4cef-bdca-26ca7b5b1253;/adresse/gravlev-bygade-1a-8400-ebeltoft;Gravlev Bygade 1A8400 Ebeltoft;8400 Ebeltoft;2.495.000,00 kr.;Energimærke E;Villa/Fritidsbolig;150 m²;Ejerudg. 1.993 kr./md;Grund 1.660 m²;2 Vær.;70 dage;Opført 1972
f38817f7-3cc1-4188-88d1-d2778d8bf52b;/adresse/fjaellebrovejen-32-5762-vester-skerninge;Fjællebrovejen 32Fjællebroen, 5762 Vester Skerninge;Fjællebroen, 5762 Vester Skerninge;1.195.000,00 kr.;Energimærke E;Villa;96 m²;Ejerudg. 1.509 kr./md;Grund 873 m²;4 Vær.;70 dage;Opført 1910
